year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,5,57.8,48.6,2.5,1.9,0,0,0,0,0,0,0
2010,1,5,74.3,54.3,4.1,1,0,0,0,0,0,0,0
2010,1,5,60.6,50.1,1.6,1.4,0,0,0,0,0,0,0
2010,1,5,63.8,45.2,2.5,2.8,0,0,0,0,0,0,0
2010,1,5,60.5,50.5,1,0.4,0,1,0,0,0,0,0
2010,1,5,64.6,52,2.3,1.2,0,0,0,0,0,0,0
2010,1,5,79.1,72.7,2.5,3.1,0,0,0,0,0,0,0
2010,1,5,59,44.3,1.1,0.6,0,0,0,0,0,0,0
2010,1,5,66.6,47.1,2.5,1.7,0,0,0,0,0,0,0
2010,1,5,67.8,56,2.5,1.7,0,0,0,0,0,0,0
2010,1,5,69.7,50.4,3.9,5.8,0,0,0,0,0,0,0
2010,1,5,58.3,48.2,1,0,0,1,0,0,0,0,0
2010,1,5,79,69.1,3.9,1.4,0,0,0,0,0,0,0
2010,1,5,76.6,69.4,4.3,1,0,0,0,0,0,0,0
2010,1,5,77.8,59,3.9,0.6,0,0,0,0,0,0,0
2010,1,5,76.9,55.9,4.8,3,0,0,0,0,0,0,0
2010,1,5,72.1,56.6,3.9,1,0,0,0,0,0,0,0
2010,1,5,72.2,52.4,4.3,0.6,0,0,0,0,0,0,0
